"tab_code","表章項目","cat01_code","宿泊施設タイプ","cat02_code","宿泊者数","area_code","施設所在地","time_code","時間軸(年次、月次)","unit","value"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015001010","2015年10月","人","437370"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000909","2015年9月","人","403410"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000808","2015年8月","人","459830"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000707","2015年7月","人","380010"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000606","2015年6月","人","332460"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000505","2015年5月","人","367010"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000404","2015年4月","人","261720"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000303","2015年3月","人","240380"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000202","2015年2月","人","216380"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2015000101","2015年1月","人","214330"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000000","2014年","人","3471830"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014001212","2014年12月","人","224680"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014001111","2014年11月","人","267150"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014001010","2014年10月","人","381420"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000909","2014年9月","人","358110"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000808","2014年8月","人","425270"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000707","2014年7月","人","344750"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000606","2014年6月","人","302780"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000505","2014年5月","人","333150"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000404","2014年4月","人","235840"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000303","2014年3月","人","208920"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000202","2014年2月","人","188350"
"120","実宿泊者数","100","合計","120","実宿泊者数","02000","青森県","2014000101","2014年1月","人","201410"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000000","2016年","人","4751530"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016001212","2016年12月","人","339410"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016001111","2016年11月","人","370560"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016001010","2016年10月","人","502540"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000909","2016年9月","人","423390"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000808","2016年8月","人","518340"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000707","2016年7月","人","407800"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000606","2016年6月","人","373380"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000505","2016年5月","人","394830"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000404","2016年4月","人","345600"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000303","2016年3月","人","365680"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000202","2016年2月","人","348220"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2016000101","2016年1月","人","361770"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000000","2015年","人","4610010"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015001212","2015年12月","人","337910"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015001111","2015年11月","人","391640"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015001010","2015年10月","人","473170"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000909","2015年9月","人","418970"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000808","2015年8月","人","519130"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000707","2015年7月","人","403640"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000606","2015年6月","人","357490"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000505","2015年5月","人","409850"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000404","2015年4月","人","326040"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000303","2015年3月","人","338790"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000202","2015年2月","人","304000"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2015000101","2015年1月","人","329380"
